Date,Session,Observer,tblEvents.Area,Weather,Comments,Time,Cows,Cows edited by LH,Calves,Prime_Bulls,Raghorns,Spikes,Unk_Male,unknown elk_LH,Total adult males_LH,Total_Elk,Total_elk edited by LH,Harem,White_Bull,Red_Bull,White_Cow,Red_Cow,Behavior,Notes,Location_Code,Location_Name,tluLocations.Area,X_Coord,Y_Coord,Ranch,Pasture
10/20/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,23,0,33,,1,,,,,,,uu,C ranch center ridge mid,D Ranch,502401.4737,4209898.844,C (Spaletta),Dam Field
12/01/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,23,0,33,,1,,,,,,,u,near outer horick,D Ranch,503483.6355,4209592.124,Non-permit,Non-permit
08/29/2012,b,Bernot,D Ranch,,,10:10,10,Yes,,,,,,23,0,33,,1,,,,,,harem split on single hill,uu,C ranch center ridge mid,D Ranch,502401.4737,4209898.844,C (Spaletta),Dam Field
07/28/2015,a,Bernot,D Ranch,,,5:40,10,Yes,,,,,,23,0,33,,1,,,,,,"hazed to WD, OH 606",mm,C ranch reservoir,D Ranch,502021.6333,4210092.33,C (Spaletta),Dam Field
09/24/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,24,0,34,,1,,,,,,,gg,west D feed gate,D Ranch,502653.5847,4210414.583,D (Spaletta),West
11/21/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,24,0,34,,1,,,,,,dairy cows back on d ranch,ww,above sewage ponds,D Ranch,502422.5667,4209353.44,C (Spaletta),Middle Field
12/07/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,24,0,34,,1,,,,,,,uu,C ranch center ridge mid,D Ranch,502401.4737,4209898.844,C (Spaletta),Dam Field
12/22/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,24,0,34,,1,,,,,,,uu,C ranch center ridge mid,D Ranch,502401.4737,4209898.844,C (Spaletta),Dam Field
01/04/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,24,0,34,,1,,,,,,prime bull mortality found at mm,uu,C ranch center ridge mid,D Ranch,502401.4737,4209898.844,C (Spaletta),Dam Field
04/28/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,24,0,34,,1,,,,,,,aa,above horseshoe pond outside permit,D Ranch,503977.6483,4209822.357,Non-permit,Non-permit
07/18/2012,a,Bernot,D Ranch,,,8:24,10,Yes,,,,,,24,0,34,,1,,,,,,rutting behavior,t,horseshoe pond pasture,D Ranch,503794.3798,4209715.716,Non-permit,Non-permit
11/22/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,25,0,35,,1,,,,,,,ww,above sewage ponds,D Ranch,502422.5667,4209353.44,C (Spaletta),Middle Field
08/05/2013,a,Press,D Ranch,,,14:00,10,Yes,,,,,,25,0,35,,1,,,x,x,,,r,east D plateau outer slope low,D Ranch,503641.8326,4209855.021,D (Nunes),Pasture B
04/10/2015,a,Bernot,D Ranch,c,,7:08,10,Yes,,,,,,25,0,35,,1,,,,1,fr,,v,outer horick manure pond,D Ranch,503365.3408,4209429.69,Non-permit,Non-permit
04/01/2016,a,Bernot,D Ranch,p,,7:22,10,Yes,,,,,,25,0,35,,1,,,,,t,,kk,west D natural area high,D Ranch,503072.0955,4209581.746,Non-permit,Non-permit
05/09/2012,a,Bernot,D Ranch,,,7:50,10,Yes,,,,,,26,0,36,,1,,,,,r,,jj,west D natural area low,D Ranch,503180.9083,4209221.827,Non-permit,Non-permit
03/21/2013,a,Bernot,D Ranch,,,11:51,10,Yes,,,,,,26,0,36,,1,,,0,0,rf,,aa,above horseshoe pond outside permit,D Ranch,503977.6483,4209822.357,Non-permit,Non-permit
03/22/2013,a,Bernot,D Ranch,,,10:58,10,Yes,,,,,,26,0,36,,1,,,1,1,r,,u,near outer horick,D Ranch,503483.6355,4209592.124,Non-permit,Non-permit
03/26/2013,a,Bernot,D Ranch,,,11:50,10,Yes,,,,,,26,0,36,,1,,,1,1,ft,,u,near outer horick,D Ranch,503483.6355,4209592.124,Non-permit,Non-permit
07/22/2015,a,Bernot,D Ranch,o,,5:32,10,Yes,,,,,,27,0,37,,1,,,,,,hazed to WD,nn,C ranch center ridge top trough,D Ranch,502222.5185,4210159.291,C (Spaletta),Dam Field
11/14/2015,a,Bernot,D Ranch,p,,7:38,10,Yes,,,,,,27,0,37,,1,,,,,fr,,u,near outer horick,D Ranch,503483.6355,4209592.124,Non-permit,Non-permit
09/07/2012,a,Bernot,D Ranch,,,7:15,10,Yes,,,,,,28,0,38,,1,,,,,,,tt,drakes swamp,D Ranch,502797.7198,4209404.666,Non-permit,Non-permit
04/02/2013,a,Bernot,D Ranch,,,9:39,10,Yes,,,,,,28,0,38,,1,,,1,0,r,,iii,WD res cyn sunning spot,D Ranch,502840.4449,4209984.979,D (Spaletta),West
09/27/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,29,0,39,,1,,,,,,,gg,west D feed gate,D Ranch,502653.5847,4210414.583,D (Spaletta),West
09/12/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,29,0,39,,1,,,,,,,mm,C ranch reservoir,D Ranch,502021.6333,4210092.33,C (Spaletta),Dam Field
08/20/2013,b,Bernot,D Ranch,,,13:58,10,Yes,,,,,,29,0,39,,1,,,0,0,r,raghorn with bouy in antlers,ccc,DB pond east slope,D Ranch,502997.4413,4209336.552,Non-permit,Non-permit
02/27/2012,a,Bernot,D Ranch,,,10:50,10,Yes,,,,,,30,0,40,,1,,,,,,,aa,above horseshoe pond outside permit,D Ranch,503977.6483,4209822.357,Non-permit,Non-permit
01/31/2014,a,Bernot,D Ranch,c,,7:00,10,Yes,,,,,,30,0,40,,1,,,x,0,,"hazed to WD, DBt 740, bulls went to Esq, Esfd 720",nn,C ranch center ridge top trough,D Ranch,502222.5185,4210159.291,C (Spaletta),Dam Field
05/14/2013,a,Bernot,D Ranch,,,6:36,10,Yes,6,,,,,24,0,40,,1,,,x,0,f,,t,horseshoe pond pasture,D Ranch,503794.3798,4209715.716,Non-permit,Non-permit
01/17/2012,a,Bernot,D Ranch,,,7:50,10,Yes,,,,,,31,0,41,,1,,,,,,,p,east D house pasture,D Ranch,503315.198,4209989.206,Non-permit,Non-permit
04/09/2013,a,Bernot,D Ranch,,,9:05,10,Yes,,,,,,31,0,41,,1,,,0,1,r,,iii,WD res cyn sunning spot,D Ranch,502840.4449,4209984.979,D (Spaletta),West
08/21/2014,b,Bernot,D Ranch,,,19:25,10,Yes,,,,,,31,0,41,,1,,,,x,t,"attempting to move onto C ranch, block-hazed back to DBt",tt,drakes swamp,D Ranch,502797.7198,4209404.666,Non-permit,Non-permit
06/20/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,32,0,42,,1,,,,,,,q,east D plateau outer slope high,D Ranch,503421.1335,4209897.395,D (Nunes),Pasture B
10/07/2011,a,Bernot,D Ranch,,,10:30,10,Yes,,,,,,32,0,42,,1,,,,,,,w,outer horick center,D Ranch,503672.5539,4209436.752,Non-permit,Non-permit
01/05/2012,a,Bernot,D Ranch,,,8:00,10,Yes,,,,,,32,0,42,,1,,,,,,,s,D ranch complex,D Ranch,503292.2452,4209703.18,Non-permit,Non-permit
08/13/2012,b,Bernot,D Ranch,,,15:30,10,Yes,,,,,,32,0,42,,1,,,,,,,p,east D house pasture,D Ranch,503315.198,4209989.206,Non-permit,Non-permit
04/12/2013,a,Bernot,D Ranch,,,10:39,10,Yes,,,,,,32,0,42,,1,,,1,0,r,,iii,WD res cyn sunning spot,D Ranch,502840.4449,4209984.979,D (Spaletta),West
