Total.Residence.hrs,Num.animals,Revisits,coordIdx,Avg.Residence.hrs,x,y
2.98,1,2,1348,3,503410.871777328,4210148.42595011
15.28,1,8,1349,15.3,503431.966026642,4210067.43922534
97.29,3,27,1350,32.4,503169.536509489,4210201.58599751
82.07,3,43,1351,27.4,502923.763235625,4210404.5379627
149.37,3,48,1352,49.8,502995.745112475,4210326.89706445
60.29,3,30,1353,20.1,502889.53719357,4210416.73058588
96.56,3,38,1354,32.2,502804.405362616,4210464.41061892
77.19,2,28,1355,38.6,502872.854549968,4210446.68197293
200.39,3,73,1356,66.8,502657.741849319,4210849.36815222
243.58,2,50,1357,121.8,502542.758812801,4210975.81787652
91.89,2,34,1358,45.9,502674.492357096,4210607.49623607
141.21,3,34,1359,47.1,501990.007886553,4210882.46381412
140.19,3,34,1360,46.7,501990.008157225,4210881.35428468
163.76,3,33,1361,54.6,502003.181030374,4210834.75727123
184.27,3,50,1362,61.4,501975.994830993,4210775.94558369
31.19,2,17,1363,15.6,502951.597301789,4211082.47043321
188.97,3,72,1364,63,502663.002820003,4210860.46516327
190.43,3,72,1365,63.5,502660.370527206,4210860.46430438
80.98,2,29,1366,40.5,502854.432611994,4210432.25163184
91.12,3,35,1367,30.4,502829.855943797,4210453.3241183
134.61,3,41,1368,44.9,503098.438215238,4210255.9255855
60.53,3,19,1369,20.2,503221.315250244,4210186.07287733
61.69,3,20,1370,20.6,503223.072448693,4210180.52592899
104.61,3,31,1371,34.9,503016.775293809,4210406.79088276
73.64,3,23,1372,24.5,502792.904383496,4210738.46036457
125.35,3,41,1373,41.8,502720.943608238,4210769.50286749
94.68,3,36,1374,31.6,502549.824981001,4210826.0335869
53.91,3,23,1375,18,502033.949301027,4210601.7637461
73.63,3,30,1376,24.5,502051.494848417,4210616.19201697
37.25,3,20,1377,12.4,502061.156968976,4210576.25140746
12,3,11,1378,4,502226.121239719,4210570.74710843
21.8,3,12,1379,7.3,502288.457771449,4210439.83994698
31.12,3,16,1380,10.4,502427.914071894,4210649.58123238
8.89,3,4,1381,3,502338.420801342,4210625.14544824
25.19,3,14,1382,8.4,502267.400193901,4210433.17689489
52.12,3,21,1383,17.4,502077.78719563,4210739.35640856
97.36,3,32,1384,32.5,502126.939966087,4210678.34496858
68.23,3,23,1385,22.7,502132.218878684,4210623.97941941
203.07,3,64,1386,67.7,502638.42327014,4210895.9621224
141.7,3,56,1387,47.2,502699.853817531,4210863.80586522
151.65,3,58,1388,50.6,502674.399964363,4210889.31666054
112.75,3,32,1389,37.6,502696.37673503,4210765.0565928
106.61,3,44,1390,35.5,502942.197117412,4210385.68260032
100.91,3,37,1391,33.6,503064.194203624,4210313.60814058
13.33,1,6,1392,13.3,503618.371378888,4209228.71689051
15.11,1,10,1393,15.1,503649.95727332,4209246.48338525
17.24,2,7,1394,8.6,503677.987118534,4209365.2153606
57.4,1,15,1395,57.4,503605.111219666,4209446.17832853
67.31,1,16,1396,67.3,503600.717429851,4209459.490716
20.26,2,12,1397,10.1,503469.985123113,4209395.0815057
61.59,1,17,1398,61.6,503565.647611046,4209382.91794108
5.33,1,5,1399,5.3,503417.309366298,4209443.87847523
18.62,2,6,1400,9.3,503190.919763446,4209374.99613729
18.91,2,4,1401,9.5,503846.552202949,4209222.16407898
61.21,2,20,1402,30.6,503917.300711489,4209925.63818005
32.27,1,8,1403,32.3,504454.187103661,4210224.37674531
61.54,1,22,1404,61.5,504458.545498216,4210277.63650723
2.24,1,3,1405,2.2,504206.837506853,4210020.09221611
48.5,2,18,1406,24.2,503932.22249083,4209917.87866031
65.09,2,22,1407,32.5,503952.389075942,4209952.283776
32.69,1,13,1408,32.7,503553.189370015,4209777.90428955
110.51,3,33,1409,36.8,503098.449591667,4210225.96831931
31.56,2,10,1410,15.8,503053.631519732,4210401.25695012
7.31,1,3,1411,7.3,503541.531788331,4210352.63488251
226.28,3,76,1412,75.4,502634.918937548,4210879.31804597
138.76,3,56,1413,46.3,502461.182324168,4210898.12577989
156.89,3,63,1414,52.3,502546.303467131,4210863.75648991
302.95,3,65,1415,101,502541.89107515,4210944.7507746
89.67,2,33,1416,44.8,502655.190805768,4210599.72322751
89.04,2,33,1417,44.5,502654.313707785,4210598.613413
77.03,3,25,1418,25.7,502788.51716318,4210738.45886372
18.75,1,6,1419,18.8,503222.852415435,4210737.50936329
17.81,1,5,1420,17.8,503230.754246705,4210725.30766555
49.02,3,21,1421,16.3,502898.300549731,4210448.91003063
62.87,2,26,1422,31.4,502873.741014195,4210421.16312187
93.33,3,40,1423,31.1,502818.44800566,4210455.53922705
93.87,3,39,1424,31.3,502821.081580117,4210452.21155068
65.27,3,29,1425,21.8,502912.348074488,4210426.72445612
10.08,2,5,1426,5,503849.747531797,4209890.10113087
19.43,2,12,1427,9.7,503889.227633882,4209908.98182975
9.56,2,7,1428,4.8,503856.875316798,4209662.6512853
1.18,2,2,1429,0.6,504283.557503171,4209304.48673728
13.45,2,6,1430,6.7,503711.424911116,4209168.84422477
35.54,2,12,1431,17.8,503776.321551731,4209269.84094065
15.25,1,9,1432,15.2,503643.817013405,4209239.8234801
104.24,3,35,1433,34.7,503047.513194753,4210336.90199498
18.54,2,10,1434,9.3,503116.696504558,4210698.63458795
60.02,3,38,1435,20,502787.46492416,4211249.95173371
259.53,3,76,1436,86.5,502500.66313204,4210909.23308331
288.82,3,59,1437,96.3,502491.877690232,4210945.84487275
288.06,3,60,1438,96,502488.368003275,4210945.84380135
145.9,3,55,1439,48.6,502467.325990244,4210892.57998795
139.37,3,54,1440,46.5,502462.938182909,4210894.79772111
141.6,3,52,1441,47.2,502627.03851387,4210828.27714622
288.33,3,67,1442,96.1,502552.420484646,4210943.64453283
225.84,2,48,1443,112.9,502513.801950148,4210982.46607975
211.85,3,69,1444,70.6,502576.133303445,4210872.64209205
177.22,3,54,1445,59.1,502471.699679803,4210936.96249643
116.11,3,42,1446,38.7,502782.462469587,4210482.15556803
102.92,2,36,1447,51.5,502767.54545188,4210482.15049416
53.93,3,23,1448,18,502713.136676142,4210498.77515244
136.34,3,48,1449,45.4,502711.270371823,4210833.85235456
152.13,3,53,1450,50.7,502683.203073831,4210801.66671964
171.8,3,60,1451,57.3,502691.962800683,4210846.05078482
44.88,3,21,1452,15,502675.327606942,4210736.20189934
194.37,3,59,1453,64.8,502474.33430376,4210929.19658768
133.85,3,50,1454,44.6,502484.002517941,4210874.83257616
166.77,3,54,1455,55.6,502500.67265572,4210878.16625806
146.44,3,55,1456,48.8,502491.90006021,4210872.61592577
100.34,3,41,1457,33.4,502598.045367451,4210946.98752566
144.07,3,38,1458,48,502855.046017837,4211186.73188982
